,ID,RA,DEC,FWHM_R,PROB_STAR,PROB_QSO,PROB_GAL
156,b'iDR3.STRIPE82-0001.006868',0.0747936193328423,-1.2242457625588872,6.838695049285889,0.0,0.0,1.0
157,b'iDR3.STRIPE82-0001.006891',359.79247544721875,-1.22270105298265,8.065876007080078,0.03,0.06,0.91
158,b'iDR3.STRIPE82-0001.006919',0.2970398469648443,-1.2216332524191602,5.117505073547363,0.23,0.04,0.73
159,b'iDR3.STRIPE82-0001.006920',359.5318300331954,-1.221592111909326,5.383640289306641,0.01,0.0,0.99
160,b'iDR3.STRIPE82-0001.006941',0.1006690656019701,-1.2223666474955883,4.964582920074463,0.0,0.0,1.0
161,b'iDR3.STRIPE82-0001.006967',0.3036027219549766,-1.2202743090341102,17.32809829711914,0.0,0.0,1.0
162,b'iDR3.STRIPE82-0001.006968',359.7937411777557,-1.2203291061312598,6.90802001953125,0.0,0.0,1.0
163,b'iDR3.STRIPE82-0001.007120',359.5716467558296,-1.2160044858835697,7.432312965393066,0.09,0.155,0.755
164,b'iDR3.STRIPE82-0001.007166',359.50623577165135,-1.2145771541043,7.156839370727539,0.0,0.0,1.0
165,b'iDR3.STRIPE82-0001.007184',0.0960583477712117,-1.214128713979051,10.236919403076172,0.06,0.19,0.75
166,b'iDR3.STRIPE82-0001.007192',359.35727147858773,-1.2153977273782817,6.009401798248291,0.0,0.0,1.0
167,b'iDR3.STRIPE82-0001.007223',0.5745871059837041,-1.2130317364221832,4.967943668365479,0.0,0.04,0.96
168,b'iDR3.STRIPE82-0001.007227',0.2236554033901314,-1.2131233493707076,6.566831588745117,0.0,0.0,1.0
169,b'iDR3.STRIPE82-0001.007275',359.7886251472757,-1.2111899958865333,7.129508972167969,0.0,0.04,0.96
170,b'iDR3.STRIPE82-0001.007282',359.98965731064544,-1.2111759998570957,5.990375518798828,0.0,0.0,1.0
171,b'iDR3.STRIPE82-0001.007304',0.398425898368023,-1.210253578035121,6.773011684417725,0.01,0.0,0.99
172,b'iDR3.STRIPE82-0001.007319',0.0354481306925541,-1.2096883423795428,5.44532585144043,0.0,0.0,1.0
173,b'iDR3.STRIPE82-0001.007366',359.3104993495306,-1.208120344525896,6.534438610076904,0.01,0.0,0.99
174,b'iDR3.STRIPE82-0001.007421',0.3906081997110541,-1.2069912310469846,6.1407318115234375,0.0,0.0,1.0
175,b'iDR3.STRIPE82-0001.007442',0.5138779906842446,-1.2062806899603316,7.103365898132324,0.0,0.0,1.0
176,b'iDR3.STRIPE82-0001.007468',0.0232362942356482,-1.2161147447687997,17.56583595275879,0.0,0.0,1.0
177,b'iDR3.STRIPE82-0001.007534',0.096415531215292,-1.20327708828506,6.390009880065918,0.14,0.235,0.625
178,b'iDR3.STRIPE82-0001.007568',359.8433419527646,-1.2024081845653345,11.442564010620115,0.05,0.0,0.95
179,b'iDR3.STRIPE82-0001.007580',359.38982123033725,-1.217193202538722,4.667250156402588,0.0,0.0,1.0
180,b'iDR3.STRIPE82-0001.007587',0.0559459887438256,-1.2135671192219122,16.678607940673828,0.0,0.0,1.0
181,b'iDR3.STRIPE82-0001.007601',359.3793473637476,-1.2017368218329751,15.3905668258667,0.0,0.0,1.0
182,b'iDR3.STRIPE82-0001.007685',0.6633528115658044,-1.2027922651993823,9.889660835266112,0.0,0.0,1.0
183,b'iDR3.STRIPE82-0001.007715',0.6349698379076535,-1.2001914873811546,8.13821792602539,0.0,0.0,1.0
184,b'iDR3.STRIPE82-0001.007726',359.8641403776007,-1.198764275517386,14.278828620910645,0.0,0.0,1.0
185,b'iDR3.STRIPE82-0001.007766',359.8411287621896,-1.1977727564267673,8.927772521972656,0.01,0.0,0.99
186,b'iDR3.STRIPE82-0001.007786',0.2513682143436503,-1.1973212780005065,13.487300872802734,0.0,0.01,0.99
187,b'iDR3.STRIPE82-0001.007804',359.8366548317197,-1.2081586354117406,4.703433513641357,0.0,0.0,1.0
188,b'iDR3.STRIPE82-0001.007854',359.7145923356415,-1.1954527948976814,6.1016387939453125,0.05,0.02,0.93
189,b'iDR3.STRIPE82-0001.007895',359.63170657101045,-1.1944517994667685,10.648360252380373,0.0,0.0,1.0
190,b'iDR3.STRIPE82-0001.007940',0.2156131934628209,-1.1983049764288105,5.271884918212891,0.04,0.0,0.96
191,b'iDR3.STRIPE82-0001.007944',0.3612515414691122,-1.1927669910663603,6.846658229827881,0.01,0.165,0.825
192,b'iDR3.STRIPE82-0001.008046',0.2396065519733618,-1.1901997030997693,5.668786525726318,0.01,0.0,0.99
193,b'iDR3.STRIPE82-0001.008105',359.8395880664629,-1.188305952188308,6.112455368041992,0.06,0.0,0.94
194,b'iDR3.STRIPE82-0001.008146',0.2126824540798661,-1.18719679759799,5.048008441925049,0.01,0.0,0.99
195,b'iDR3.STRIPE82-0001.008164',0.1470933156433066,-1.1868486118995687,7.0799665451049805,0.0,0.0,1.0
196,b'iDR3.STRIPE82-0001.008186',359.82131492260345,-1.1863572232853066,9.156793594360352,0.04,0.11,0.85
197,b'iDR3.STRIPE82-0001.008252',0.0362351640456284,-1.1843518431224234,4.601160049438477,0.08,0.11,0.81
198,b'iDR3.STRIPE82-0001.008308',0.1663896627973176,-1.1912103302521635,8.230305671691895,0.0,0.0,1.0
199,b'iDR3.STRIPE82-0001.008378',359.32962653609457,-1.1809443784310014,7.995378017425537,0.0,0.0,1.0
200,b'iDR3.STRIPE82-0001.008481',359.91283910536873,-1.1797298096833768,4.421370029449463,0.0,0.0,1.0
201,b'iDR3.STRIPE82-0001.008511',359.8066916054741,-1.178932855207654,20.658924102783203,0.0,0.01,0.99
202,b'iDR3.STRIPE82-0001.008541',359.593693740398,-1.1828397363451528,7.579962730407715,0.0,0.0,1.0
203,b'iDR3.STRIPE82-0001.008667',359.9059073815731,-1.174112541472546,6.561112880706787,0.0,0.0,1.0
204,b'iDR3.STRIPE82-0001.008694',0.3816685601476129,-1.173279386924352,13.768218040466309,0.0,0.0,1.0
